homophily, mean, var, ci/2
0, 0.9921344, 7.945516E-4, 0.010525495
1, 0.9921344, 7.945516E-4, 0.010525495
2, 0.9917259, 7.962449E-4, 0.010536704
3, 0.96084166, 0.0015865318, 0.0148732485
4, 0.9657486, 0.0016372467, 0.015109098
5, 0.8159906, 0.004501754, 0.025053727
6, 0.487285, 0.0017074345, 0.015429558
7, 0.20836304, 0.0019034287, 0.016291076
8, 0.0215593, 8.037938E-4, 0.010586534

